source_type,database_name,table_name,column_name,column_position,data_type,is_nullable,column_key
bigquery,tappx_us_east4,SensorTower_Tappx_CategoryMapping,date,1,DATE,YES,
bigquery,tappx_us_east4,SensorTower_Tappx_CategoryMapping,OS,2,STRING,YES,
bigquery,tappx_us_east4,SensorTower_Tappx_CategoryMapping,ID SensorTower Category,3,STRING,YES,
bigquery,tappx_us_east4,SensorTower_Tappx_CategoryMapping,SensorTower Category,4,STRING,YES,
bigquery,tappx_us_east4,SensorTower_Tappx_CategoryMapping,Tappx Category,5,STRING,YES,
bigquery,tappx_us_east4,SensorTower_Tappx_CategoryMapping,Similarity Score,6,FLOAT64,YES,
bigquery,tappx_us_east4,SensorTower_Tappx_CategoryMapping,Thr1,7,BOOL,YES,
bigquery,tappx_us_east4,advertiser_apps,snap_date,1,DATE,YES,
bigquery,tappx_us_east4,advertiser_apps,bundle_id,2,STRING,YES,
bigquery,tappx_us_east4,advertiser_apps,name,3,STRING,YES,
bigquery,tappx_us_east4,advertiser_apps,status,4,STRING,YES,
bigquery,tappx_us_east4,advertiser_apps,device,5,STRING,YES,
bigquery,tappx_us_east4,advertiser_apps,creation_date,6,DATE,YES,
bigquery,tappx_us_east4,advertiser_apps,expiration_date,7,DATE,YES,
bigquery,tappx_us_east4,app_insights,id,1,INT64,YES,
bigquery,tappx_us_east4,app_insights,last_update,2,DATE,YES,
bigquery,tappx_us_east4,app_insights,device,3,STRING,YES,
bigquery,tappx_us_east4,app_insights,bundle_tappx,4,STRING,YES,
bigquery,tappx_us_east4,app_insights,market_title,5,STRING,YES,
bigquery,tappx_us_east4,app_insights,market_url,6,STRING,YES,
bigquery,tappx_us_east4,app_insights,market_description,7,STRING,YES,
bigquery,tappx_us_east4,app_insights,market_genre,8,STRING,YES,
bigquery,tappx_us_east4,app_insights,st_categories,9,STRING,YES,
bigquery,tappx_us_east4,app_insights,st_countries,10,STRING,YES,
bigquery,tappx_us_east4,app_insights,st_confidence,11,STRING,YES,
bigquery,tappx_us_east4,app_insights,st_demographics,12,STRING,YES,
bigquery,tappx_us_east4,app_insights,total_requests,13,INT64,YES,
