"database_name","table_name","column_name","column_position","data_type","is_nullable","column_key"
consolidated,dict_perf_offers,id_offer,1,UInt64,YES,""
consolidated,dict_perf_offers,offer_name,2,String,YES,""
consolidated,dict_perf_offers,offer_bundle,3,String,YES,""
consolidated,dict_perf_offers,offer_status,4,String,YES,""
consolidated,dict_perf_offers,advertiser_name,5,String,YES,""
consolidated,dict_perf_offers,offer_revenue_type,6,String,YES,""
consolidated,dict_perf_offers,offer_revenue_value,7,"Decimal(20, 10)",YES,""
consolidated,internal-services-logs-SSP,ev_ver,1,UInt8,YES,""
consolidated,internal-services-logs-SSP,date,2,Date,YES,PRI
consolidated,internal-services-logs-SSP,hour,3,UInt8,YES,PRI
consolidated,internal-services-logs-SSP,id_log,4,LowCardinality(String),YES,PRI
consolidated,internal-services-logs-SSP,level,5,UInt8,YES,""
consolidated,internal-services-logs-SSP,datacenter,6,LowCardinality(String),YES,PRI
consolidated,internal-services-logs-SSP,hostname,7,String,YES,""
consolidated,internal-services-logs-SSP,canary,8,Bool,YES,""
consolidated,internal-services-logs-SSP,json_data,9,String,YES,""
consolidated,internal-services-logs-SSP,extra,10,String,YES,""
consolidated,internal-services-logs-SSP,count,11,UInt64,YES,""
consolidated,internal-services-logs-SSP,city_hash,12,UInt64,YES,PRI
consolidated,internal-services-logs-SSP-dist,ev_ver,1,UInt8,YES,""
consolidated,internal-services-logs-SSP-dist,date,2,Date,YES,""
consolidated,internal-services-logs-SSP-dist,hour,3,UInt8,YES,""
consolidated,internal-services-logs-SSP-dist,id_log,4,LowCardinality(String),YES,""
consolidated,internal-services-logs-SSP-dist,level,5,UInt8,YES,""
consolidated,internal-services-logs-SSP-dist,datacenter,6,LowCardinality(String),YES,""
consolidated,internal-services-logs-SSP-dist,hostname,7,String,YES,""
consolidated,internal-services-logs-SSP-dist,canary,8,Bool,YES,""
consolidated,internal-services-logs-SSP-dist,json_data,9,String,YES,""
consolidated,internal-services-logs-SSP-dist,extra,10,String,YES,""
consolidated,internal-services-logs-SSP-dist,count,11,UInt64,YES,""
consolidated,internal-services-logs-SSP-dist,city_hash,12,UInt64,YES,""
consolidated,internal-services-logs-SSP-mv,ev_ver,1,UInt8,YES,""
consolidated,internal-services-logs-SSP-mv,date,2,Date,YES,""
consolidated,internal-services-logs-SSP-mv,hour,3,UInt8,YES,""
consolidated,internal-services-logs-SSP-mv,id_log,4,LowCardinality(String),YES,""
consolidated,internal-services-logs-SSP-mv,level,5,UInt8,YES,""
consolidated,internal-services-logs-SSP-mv,datacenter,6,LowCardinality(String),YES,""
consolidated,internal-services-logs-SSP-mv,hostname,7,String,YES,""
consolidated,internal-services-logs-SSP-mv,canary,8,Bool,YES,""
consolidated,internal-services-logs-SSP-mv,json_data,9,String,YES,""
consolidated,internal-services-logs-SSP-mv,extra,10,String,YES,""
consolidated,internal-services-logs-SSP-mv,count,11,UInt64,YES,""
consolidated,perf-stats-bidder-finally,date,1,Date,YES,PRI
consolidated,perf-stats-bidder-finally,pk_hash,2,String,YES,PRI
consolidated,perf-stats-bidder-finally,id_user,3,UInt64,YES,""
consolidated,perf-stats-bidder-finally,endpoint,4,String,YES,""
consolidated,perf-stats-bidder-finally,id_os,5,Int16,YES,""
consolidated,perf-stats-bidder-finally,id_app,6,Int64,YES,""
consolidated,perf-stats-bidder-finally,adunit,7,String,YES,PRI
consolidated,perf-stats-bidder-finally,bundle,8,String,YES,PRI
consolidated,perf-stats-bidder-finally,country,9,LowCardinality(String),YES,PRI
consolidated,perf-stats-bidder-finally,id_size,10,UInt16,YES,PRI
consolidated,perf-stats-bidder-finally,video,11,UInt16,YES,""
consolidated,perf-stats-bidder-finally,video_type,12,LowCardinality(String),YES,""
consolidated,perf-stats-bidder-finally,source,13,LowCardinality(String),YES,""
consolidated,perf-stats-bidder-finally,perf_source,14,LowCardinality(String),YES,""
consolidated,perf-stats-bidder-finally,id_network,15,UInt32,YES,""
consolidated,perf-stats-bidder-finally,id_offer,16,UInt64,YES,PRI
consolidated,perf-stats-bidder-finally,offer_bundle,17,String,YES,""
consolidated,perf-stats-bidder-finally,offer_type,18,LowCardinality(String),YES,""
consolidated,perf-stats-bidder-finally,algo_incoming_traffic,19,LowCardinality(String),YES,""
consolidated,perf-stats-bidder-finally,algo_tag_reqs,20,LowCardinality(String),YES,""
consolidated,perf-stats-bidder-finally,algo_sprinkler,21,LowCardinality(String),YES,""
consolidated,perf-stats-bidder-finally,algo_offer_selection,22,LowCardinality(String),YES,""
consolidated,perf-stats-bidder-finally,requests,23,UInt64,YES,""
consolidated,perf-stats-bidder-finally,deliveries,24,UInt64,YES,""
consolidated,perf-stats-bidder-finally,impressions,25,UInt64,YES,""
consolidated,perf-stats-bidder-finally,clicks,26,UInt64,YES,""
consolidated,perf-stats-bidder-finally,installs,27,UInt64,YES,""
consolidated,perf-stats-bidder-finally,conversions,28,UInt64,YES,""
consolidated,perf-stats-bidder-finally,payable_events,29,UInt64,YES,""
consolidated,perf-stats-bidder-finally,currency,30,LowCardinality(String),YES,""
consolidated,perf-stats-bidder-finally,cost,31,"Decimal(20, 10)",YES,""
consolidated,perf-stats-bidder-finally,revenue_gross,32,"Decimal(20, 10)",YES,""
consolidated,perf-stats-bidder-finally,revenue_net,33,"Decimal(20, 10)",YES,""
consolidated,perf-stats-bidder-finally,revenue_estimated,34,"Nullable(Decimal(20, 10))",YES,""
consolidated,perf-stats-bidder-finally,user_revenue_share,35,"Decimal(5, 4)",YES,""
consolidated,perf-stats-bidder-finally,user_revenue_fix,36,"Decimal(20, 10)",YES,""
consolidated,perf-stats-bidder-finally,__deleted,37,String,YES,""
consolidated,perf-stats-bidder-finally,updated_at,38,DateTime64(3),YES,""
consolidated,perf-stats-bidder-finally-dist,date,1,Date,YES,""
consolidated,perf-stats-bidder-finally-dist,pk_hash,2,String,YES,""
consolidated,perf-stats-bidder-finally-dist,id_user,3,UInt64,YES,""
consolidated,perf-stats-bidder-finally-dist,endpoint,4,String,YES,""
consolidated,perf-stats-bidder-finally-dist,id_os,5,Int16,YES,""
consolidated,perf-stats-bidder-finally-dist,id_app,6,Int64,YES,""
consolidated,perf-stats-bidder-finally-dist,adunit,7,String,YES,""
consolidated,perf-stats-bidder-finally-dist,bundle,8,String,YES,""
consolidated,perf-stats-bidder-finally-dist,country,9,LowCardinality(String),YES,""
consolidated,perf-stats-bidder-finally-dist,id_size,10,UInt16,YES,""
consolidated,perf-stats-bidder-finally-dist,video,11,UInt16,YES,""
