"source_type","database_name","table_name","column_name","column_position","data_type","is_nullable","column_key"
mysql-sl,AppStoreService,bundle_segments,last_update,1,date,YES,MUL
mysql-sl,AppStoreService,bundle_segments,bundle,2,varchar,NO,PRI
mysql-sl,AppStoreService,bundle_segments,bundle_bidder,3,varchar,YES,""
mysql-sl,AppStoreService,bundle_segments,id_os,4,bigint,NO,PRI
mysql-sl,AppStoreService,bundle_segments,adomain,5,varchar,YES,""
mysql-sl,AppStoreService,bundle_segments,tappx_categories,6,varchar,YES,""
mysql-sl,AppStoreService,bundle_segments,st_confidence,7,varchar,YES,""
mysql-sl,AppStoreService,bundle_segments,st_demographics,8,json,YES,""
mysql-sl,AppStoreService,bundle_segments,gender_distribution,9,json,YES,""
mysql-sl,AppStoreService,bundle_segments,age_distribution,10,json,YES,""
mysql-sl,AppStoreService,market_info_application,bundle,1,varchar,NO,PRI
mysql-sl,AppStoreService,market_info_application,id_os,2,tinyint,NO,PRI
mysql-sl,AppStoreService,market_info_application,creation,3,datetime,NO,""
mysql-sl,AppStoreService,market_info_application,crawler_dl_tries,4,smallint,NO,""
mysql-sl,AppStoreService,market_info_application,crawler_last_check,5,datetime,NO,""
mysql-sl,AppStoreService,market_info_application,crawler_last_ok,6,timestamp,NO,""
mysql-sl,AppStoreService,market_info_application,market_url,7,varchar,NO,""
mysql-sl,AppStoreService,market_info_application,market_country,8,varchar,YES,""
mysql-sl,AppStoreService,market_info_application,market_app_last_update,9,date,YES,""
mysql-sl,AppStoreService,market_info_application,market_apple_id,10,varchar,YES,""
mysql-sl,AppStoreService,market_info_application,market_title,11,varchar,YES,""
mysql-sl,AppStoreService,market_info_application,market_description,12,varchar,YES,""
mysql-sl,AppStoreService,market_info_application,market_logo,13,varchar,YES,""
mysql-sl,AppStoreService,market_info_application,market_is_free,14,tinyint,YES,""
mysql-sl,AppStoreService,market_info_application,market_rate,15,float,YES,""
mysql-sl,AppStoreService,market_info_application,market_category,16,varchar,YES,""
mysql-sl,AppStoreService,market_info_application,market_reviews,17,bigint,YES,""
mysql-sl,AppStoreService,market_info_application,market_downloads,18,bigint,YES,""
mysql-sl,AppStoreService,market_info_application,market_appsize,19,float,YES,""
mysql-sl,AppStoreService,market_info_application,market_developer_marketurl,20,varchar,YES,""
mysql-sl,AppStoreService,market_info_application,market_developer_website,21,varchar,YES,""
mysql-sl,AppStoreService,market_info_application,market_content_rating,22,varchar,YES,""
